Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State,Invoice
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,17-09-2016,East,2163,0.26,670.53,Tamil Nadu,12033
OD5318,Akash,Oil & Masala,Masalas,Ooty,01-11-2016,East,1783,0.12,338.77,Tamil Nadu,12033
OD1609,Akash,Bakery,Biscuits,Coimbatore,04-12-2016,East,1907,0.35,247.91,Tamil Nadu,12033
OD2499,Akash,Snacks,Noodles,Chennai,06-12-2016,East,874,0.12,384.56,Tamil Nadu,12033
OD8967,Akash,Oil & Masala,Spices,Virudhunagar,19-12-2016,East,772,0.24,270.2,Tamil Nadu,12033
OD6031,Akash,"Eggs, Meat & Fish",Chicken,Theni,25-12-2016,East,1398,0.24,629.1,Tamil Nadu,12033
OD35,Anu,Beverages,Health Drinks,Vellore,19-10-2018,Central,809,0.32,80.9,Tamil Nadu,12035
OD6926,Anu,Food Grains,Atta & Flour,Nagercoil,02-11-2018,Central,1247,0.32,211.99,Tamil Nadu,12035
OD3532,Anu,Beverages,Soft Drinks,Tirunelveli,25-11-2018,Central,2483,0.28,918.71,Tamil Nadu,12035
OD8529,Anu,Food Grains,Organic Staples,Virudhunagar,26-11-2018,Central,627,0.12,257.07,Tamil Nadu,12035
OD1441,Anu,Oil & Masala,Masalas,Theni,08-12-2018,Central,2316,0.1,393.72,Tamil Nadu,12035
OD78,Anu,Snacks,Noodles,Coimbatore,09-12-2018,Central,1358,0.31,488.88,Tamil Nadu,12035
OD6913,Anu,Bakery,Breads & Buns,Coimbatore,09-12-2018,Central,1258,0.34,150.96,Tamil Nadu,12035
OD9066,Anu,Food Grains,Dals & Pulses,Ramanadhapuram,28-12-2018,Central,1423,0.16,213.45,Tamil Nadu,12035
OD51,Esther,Beverages,Soft Drinks,Salem,18-04-2016,Central,902,0.29,153.34,Tamil Nadu,12051
OD1439,Esther,Bakery,Breads & Buns,Madurai,08-05-2016,Central,1370,0.26,438.4,Tamil Nadu,12051
OD3220,Esther,Bakery,Biscuits,Coimbatore,17-11-2016,Central,1153,0.27,219.07,Tamil Nadu,12051
OD2023,Esther,Snacks,Cookies,Kanyakumari,05-12-2016,Central,566,0.3,169.8,Tamil Nadu,12051
OD101,Adavan,Bakery,Cakes,Coimbatore,29-08-2017,Central,2118,0.35,910.74,Tamil Nadu,120101
OD5259,Adavan,Oil & Masala,Spices,Tenkasi,02-09-2017,Central,1644,0.22,131.52,Tamil Nadu,120101
OD402,Adavan,"Eggs, Meat & Fish",Chicken,Ooty,08-09-2017,Central,1477,0.23,73.85,Tamil Nadu,120101
OD7021,Adavan,Beverages,Health Drinks,Coimbatore,24-10-2017,Central,2283,0.18,228.3,Tamil Nadu,120101
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,02-03-2016,West,983,0.11,186.77,Tamil Nadu,120118
OD7658,Arvind,"Eggs, Meat & Fish",Chicken,Trichy,26-04-2016,West,1277,0.18,421.41,Tamil Nadu,120118
OD8344,Arvind,Food Grains,Dals & Pulses,Trichy,15-06-2016,West,990,0.35,445.5,Tamil Nadu,120118
OD6476,Arvind,Beverages,Health Drinks,Nagercoil,17-09-2016,West,565,0.21,163.85,Tamil Nadu,120118
OD8431,Arvind,Fruits & Veggies,Organic Fruits,Bodi,21-09-2016,West,1043,0.3,302.47,Tamil Nadu,120118
OD119,Akash,Food Grains,Rice,Chennai,05-04-2016,South,903,0.1,90.3,Tamil Nadu,120119
OD7472,Akash,"Eggs, Meat & Fish",Eggs,Madurai,13-06-2016,South,1267,0.21,76.02,Tamil Nadu,120119
OD5701,Akash,Bakery,Biscuits,Chennai,18-06-2016,South,1513,0.3,484.16,Tamil Nadu,120119
OD4046,Akash,Food Grains,Dals & Pulses,Virudhunagar,23-08-2016,South,1332,0.16,439.56,Tamil Nadu,120119
OD4094,Akash,Snacks,Chocolates,Vellore,23-08-2016,South,2291,0.2,206.19,Tamil Nadu,120119
OD160,Amrish,Food Grains,Dals & Pulses,Madurai,20-11-2017,Central,1487,0.11,148.7,Tamil Nadu,120160
OD9118,Amrish,Food Grains,Rice,Karur,12-12-2017,Central,980,0.16,294,Tamil Nadu,120160
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Ooty,08-09-2015,Central,2340,0.25,491.4,Tamil Nadu,120175
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Karur,14-09-2015,Central,1747,0.27,471.69,Tamil Nadu,120175
OD7077,Aditi,Fruits & Veggies,Organic Vegetables,Tenkasi,10-10-2015,Central,801,0.35,304.38,Tamil Nadu,120175
OD5240,Aditi,Oil & Masala,Masalas,Cumbum,14-10-2015,Central,2227,0.1,935.34,Tamil Nadu,120175
OD3421,Aditi,Food Grains,Rice,Trichy,24-11-2015,Central,2384,0.19,858.24,Tamil Nadu,120175
OD191,Amrish,Fruits & Veggies,Organic Fruits,Chennai,12-10-2016,East,2093,0.11,334.88,Tamil Nadu,120191
OD1623,Amrish,Beverages,Health Drinks,Madurai,04-12-2016,East,1485,0.22,163.35,Tamil Nadu,120191
OD2176,Amrish,Food Grains,Dals & Pulses,Karur,19-12-2016,East,1995,0.35,578.55,Tamil Nadu,120191
OD193,Anu,Beverages,Health Drinks,Dharmapuri,12-10-2016,East,1972,0.32,414.12,Tamil Nadu,120193
OD2207,Anu,Oil & Masala,Edible Oil & Ghee,Ramanadhapuram,05-11-2016,East,1087,0.3,413.06,Tamil Nadu,120193
OD214,Arutra,Food Grains,Rice,Krishnagiri,02-01-2016,East,1353,0.11,527.67,Tamil Nadu,120214
OD8191,Arutra,Food Grains,Atta & Flour,Karur,12-01-2016,East,1495,0.13,313.95,Tamil Nadu,120214
OD5351,Arutra,Bakery,Biscuits,Vellore,14-02-2016,East,1947,0.2,759.33,Tamil Nadu,120214
OD8480,Arutra,Food Grains,Dals & Pulses,Chennai,02-08-2016,East,1224,0.12,208.08,Tamil Nadu,120214
OD9786,Arutra,Beverages,Health Drinks,Cumbum,02-08-2016,East,2392,0.13,143.52,Tamil Nadu,120214
OD7190,Arutra,Bakery,Breads & Buns,Nagercoil,09-08-2016,East,2109,0.22,274.17,Tamil Nadu,120214
OD268,Arvind,Oil & Masala,Masalas,Virudhunagar,22-01-2017,East,2500,0.33,425,Tamil Nadu,120268
OD6654,Arvind,Snacks,Noodles,Ramanadhapuram,19-02-2017,East,2459,0.28,713.11,Tamil Nadu,120268
OD6291,Arvind,"Eggs, Meat & Fish",Eggs,Namakkal,30-03-2017,East,2400,0.32,360,Tamil Nadu,120268
OD2484,Arvind,Oil & Masala,Edible Oil & Ghee,Tenkasi,08-05-2017,East,649,0.22,181.72,Tamil Nadu,120268
OD5375,Arvind,Fruits & Veggies,Fresh Fruits,Dindigul,23-05-2017,East,790,0.26,260.7,Tamil Nadu,120268
OD6052,Arvind,Snacks,Cookies,Tenkasi,14-06-2017,East,1727,0.14,276.32,Tamil Nadu,120268
OD318,Arvind,Bakery,Cakes,Vellore,04-11-2015,East,1123,0.23,89.84,Tamil Nadu,120318
OD320,Arvind,Food Grains,Organic Staples,Krishnagiri,04-11-2015,East,1027,0.16,328.64,Tamil Nadu,120318
OD3714,Arvind,Beverages,Health Drinks,Tirunelveli,30-11-2015,East,1749,0.15,244.86,Tamil Nadu,120318
OD328,Arutra,Beverages,Health Drinks,Vellore,30-08-2017,East,590,0.22,82.6,Tamil Nadu,120328
OD1587,Arutra,Fruits & Veggies,Fresh Fruits,Nagercoil,01-09-2017,East,1599,0.22,399.75,Tamil Nadu,120328
OD1261,Arutra,Fruits & Veggies,Organic Vegetables,Vellore,03-09-2017,East,2080,0.17,145.6,Tamil Nadu,120328
OD8950,Arutra,Bakery,Breads & Buns,Cumbum,10-09-2017,East,1928,0.32,848.32,Tamil Nadu,120328
OD8159,Arutra,Bakery,Cakes,Chennai,17-09-2017,East,2496,0.12,673.92,Tamil Nadu,120328
OD368,Amrish,"Eggs, Meat & Fish",Mutton,Ramanadhapuram,21-10-2017,East,2439,0.21,658.53,Tamil Nadu,120368
OD292,Amrish,Fruits & Veggies,Organic Fruits,Madurai,20-11-2017,East,1992,0.34,418.32,Tamil Nadu,120368
OD5399,Amrish,Fruits & Veggies,Fresh Fruits,Bodi,25-11-2017,East,538,0.35,32.28,Tamil Nadu,120368
OD2122,Amrish,Food Grains,Rice,Viluppuram,04-12-2017,East,1878,0.14,131.46,Tamil Nadu,120368
OD3588,Amrish,Beverages,Health Drinks,Coimbatore,14-12-2017,East,2070,0.31,455.4,Tamil Nadu,120368
OD428,Amrish,Snacks,Noodles,Coimbatore,12-09-2015,East,707,0.1,226.24,Tamil Nadu,120428
OD8763,Amrish,Food Grains,Rice,Krishnagiri,21-09-2015,East,582,0.29,215.34,Tamil Nadu,120428
OD1621,Amrish,"Eggs, Meat & Fish",Chicken,Trichy,22-09-2015,East,2232,0.29,870.48,Tamil Nadu,120428
OD4963,Amrish,Snacks,Cookies,Karur,10-10-2015,East,1638,0.2,196.56,Tamil Nadu,120428
OD5391,Amrish,Fruits & Veggies,Fresh Vegetables,Dindigul,02-11-2015,East,1845,0.11,811.8,Tamil Nadu,120428
OD709,Amrish,Beverages,Soft Drinks,Coimbatore,02-12-2015,East,1409,0.11,408.61,Tamil Nadu,120428
OD7183,Amrish,Oil & Masala,Spices,Karur,02-12-2015,East,1082,0.12,259.68,Tamil Nadu,120428
OD6341,Amrish,Food Grains,Atta & Flour,Vellore,05-12-2015,East,827,0.27,181.94,Tamil Nadu,120428
OD464,Amrish,Food Grains,Organic Staples,Viluppuram,22-04-2017,West,2200,0.23,484,Tamil Nadu,120464
OD325,Amrish,Fruits & Veggies,Fresh Vegetables,Pudukottai,23-04-2017,West,2078,0.21,914.32,Tamil Nadu,120464
OD507,Aditi,Food Grains,Rice,Karur,16-03-2016,South,2354,0.18,870.98,Tamil Nadu,120507
OD4192,Aditi,Beverages,Soft Drinks,Virudhunagar,21-03-2016,South,899,0.23,143.84,Tamil Nadu,120507
OD1089,Aditi,"Eggs, Meat & Fish",Fish,Salem,16-04-2016,South,2388,0.35,597,Tamil Nadu,120507
OD5434,Aditi,Bakery,Cakes,Virudhunagar,21-04-2016,South,2153,0.11,882.73,Tamil Nadu,120507
OD6729,Aditi,Oil & Masala,Edible Oil & Ghee,Cumbum,15-05-2016,South,2151,0.27,881.91,Tamil Nadu,120507
OD5697,Aditi,Snacks,Chocolates,Tenkasi,11-06-2016,South,1571,0.17,298.49,Tamil Nadu,120507
OD792,Aditi,Bakery,Breads & Buns,Coimbatore,26-06-2016,South,1546,0.1,479.26,Tamil Nadu,120507
OD521,Arutra,"Eggs, Meat & Fish",Mutton,Salem,22-03-2016,Central,1854,0.34,519.12,Tamil Nadu,120521
OD1471,Arutra,"Eggs, Meat & Fish",Chicken,Kanyakumari,13-04-2016,Central,1977,0.25,474.48,Tamil Nadu,120521
OD7988,Arutra,Snacks,Noodles,Ramanadhapuram,18-04-2016,Central,552,0.34,204.24,Tamil Nadu,120521
OD8709,Arutra,Fruits & Veggies,Organic Vegetables,Trichy,28-04-2016,Central,1846,0.17,683.02,Tamil Nadu,120521
OD3557,Arutra,Food Grains,Atta & Flour,Pudukottai,21-05-2016,Central,582,0.17,192.06,Tamil Nadu,120521
OD541,Alan,Beverages,Soft Drinks,Trichy,01-02-2015,Central,1338,0.27,374.64,Tamil Nadu,120541
OD1422,Alan,Oil & Masala,Spices,Pudukottai,04-04-2015,Central,1075,0.16,408.5,Tamil Nadu,120541
OD2027,Alan,Oil & Masala,Edible Oil & Ghee,Bodi,11-07-2015,Central,1818,0.23,781.74,Tamil Nadu,120541
OD587,Aditi,Snacks,Chocolates,Ramanadhapuram,03-07-2016,South,1479,0.29,73.95,Tamil Nadu,120587
OD2219,Aditi,Fruits & Veggies,Fresh Fruits,Chennai,30-10-2016,South,1073,0.12,203.87,Tamil Nadu,120587
OD4077,Aditi,Fruits & Veggies,Organic Fruits,Trichy,10-12-2016,South,1956,0.35,136.92,Tamil Nadu,120587
OD5436,Aditi,Snacks,Noodles,Krishnagiri,10-12-2016,South,625,0.25,168.75,Tamil Nadu,120587
OD600,Adavan,Fruits & Veggies,Fresh Vegetables,Karur,16-07-2017,East,1963,0.27,392.6,Tamil Nadu,120600
OD3604,Adavan,Oil & Masala,Spices,Kanyakumari,02-09-2017,East,1950,0.25,546,Tamil Nadu,120600
OD3971,Adavan,Fruits & Veggies,Organic Vegetables,Namakkal,05-09-2017,East,2122,0.28,679.04,Tamil Nadu,120600
OD3667,Adavan,Beverages,Soft Drinks,Perambalur,20-11-2017,East,949,0.26,398.58,Tamil Nadu,120600
OD654,Aditi,Oil & Masala,Edible Oil & Ghee,Nagercoil,19-06-2018,East,1086,0.27,434.4,Tamil Nadu,120654
OD3954,Aditi,Food Grains,Organic Staples,Salem,14-07-2018,East,1576,0.34,520.08,Tamil Nadu,120654
OD3668,Aditi,Oil & Masala,Masalas,Namakkal,15-07-2018,East,773,0.34,185.52,Tamil Nadu,120654
OD3951,Aditi,Food Grains,Atta & Flour,Madurai,21-08-2018,East,1405,0.21,210.75,Tamil Nadu,120654
OD8486,Aditi,Snacks,Chocolates,Karur,03-09-2018,East,1516,0.31,379,Tamil Nadu,120654
OD734,Akash,Beverages,Soft Drinks,Pudukottai,21-01-2018,West,2103,0.1,883.26,Tamil Nadu,120734
OD4560,Akash,Beverages,Health Drinks,Ooty,26-02-2018,West,841,0.32,168.2,Tamil Nadu,120734
OD9566,Akash,"Eggs, Meat & Fish",Chicken,Ramanadhapuram,06-03-2018,West,1185,0.23,201.45,Tamil Nadu,120734
OD8045,Akash,Bakery,Biscuits,Krishnagiri,10-03-2018,West,606,0.33,193.92,Tamil Nadu,120734
OD5711,Akash,Snacks,Noodles,Coimbatore,15-04-2018,West,1298,0.25,272.58,Tamil Nadu,120734
